frame_index,component_index,stable_key_x,stable_key_y,column_x,column_y
3,0,16437,16395,16469,16397
3,0,16437,16395,16469,16398
3,0,16437,16395,16469,16399
3,0,16437,16395,16469,16400
3,0,16437,16395,16469,16402
3,0,16437,16395,16469,16403
3,0,16437,16395,16470,16368
3,0,16437,16395,16470,16369
3,0,16437,16395,16470,16370
3,0,16437,16395,16470,16371
3,0,16437,16395,16470,16372
3,0,16437,16395,16470,16373
3,0,16437,16395,16470,16374
3,0,16437,16395,16470,16375
3,0,16437,16395,16470,16377
3,0,16437,16395,16470,16378
3,0,16437,16395,16470,16379
3,0,16437,16395,16470,16381
3,0,16437,16395,16470,16382
3,0,16437,16395,16470,16383
3,0,16437,16395,16470,16384
3,0,16437,16395,16470,16385
3,0,16437,16395,16470,16386
3,0,16437,16395,16470,16387
3,0,16437,16395,16470,16388
3,0,16437,16395,16470,16389
3,0,16437,16395,16470,16390
3,0,16437,16395,16470,16391
3,0,16437,16395,16470,16392
3,0,16437,16395,16470,16393
3,0,16437,16395,16470,16394
3,0,16437,16395,16470,16395
3,0,16437,16395,16470,16396
3,0,16437,16395,16470,16397
3,0,16437,16395,16470,16398
3,0,16437,16395,16470,16399
3,0,16437,16395,16470,16401
3,0,16437,16395,16470,16402
3,0,16437,16395,16470,16403
3,0,16437,16395,16471,16368
3,0,16437,16395,16471,16369
3,0,16437,16395,16471,16370
3,0,16437,16395,16471,16371
3,0,16437,16395,16471,16372
3,0,16437,16395,16471,16373
3,0,16437,16395,16471,16374
3,0,16437,16395,16471,16375
3,0,16437,16395,16471,16377
3,0,16437,16395,16471,16378
3,0,16437,16395,16471,16379
3,0,16437,16395,16471,16380
3,0,16437,16395,16471,16381
3,0,16437,16395,16471,16382
3,0,16437,16395,16471,16383
3,0,16437,16395,16471,16384
3,0,16437,16395,16471,16385
3,0,16437,16395,16471,16386
3,0,16437,16395,16471,16387
3,0,16437,16395,16471,16388
3,0,16437,16395,16471,16389
3,0,16437,16395,16471,16390
3,0,16437,16395,16471,16391
3,0,16437,16395,16471,16392
3,0,16437,16395,16471,16393
3,0,16437,16395,16471,16394
3,0,16437,16395,16471,16395
3,0,16437,16395,16471,16396
3,0,16437,16395,16471,16397
3,0,16437,16395,16471,16398
3,0,16437,16395,16471,16399
3,0,16437,16395,16471,16400
3,0,16437,16395,16471,16403
3,0,16437,16395,16472,16369
3,0,16437,16395,16472,16370
3,0,16437,16395,16472,16371
3,0,16437,16395,16472,16372
3,0,16437,16395,16472,16373
3,0,16437,16395,16472,16374
3,0,16437,16395,16472,16375
3,0,16437,16395,16472,16376
3,0,16437,16395,16472,16377
3,0,16437,16395,16472,16378
3,0,16437,16395,16472,16379
3,0,16437,16395,16472,16380
3,0,16437,16395,16472,16381
3,0,16437,16395,16472,16382
3,0,16437,16395,16472,16383
3,0,16437,16395,16472,16384
3,0,16437,16395,16472,16385
3,0,16437,16395,16472,16386
3,0,16437,16395,16472,16387
3,0,16437,16395,16472,16388
3,0,16437,16395,16472,16389
3,0,16437,16395,16472,16390
3,0,16437,16395,16472,16391
3,0,16437,16395,16472,16392
